user_input,reference,category,source_doc,notes,query_length,query_style,synthesizer_name
Apa sanksi jika terbukti melakukan plagiarisme pada skripsi?,"Mahasiswa yang terbukti plagiarisme pada skripsi dikenai dua kategori sanksi: (1) pembatalan keabsahan skripsi yang terbukti mengandung plagiasi, dan (2) sanksi akademik terhadap mahasiswa berupa peringatan, pembinaan, pembatalan sebagian/seluruh hasil evaluasi, pembatalan mata kuliah, pencabutan status kemahasiswaan sementara/permanen, hingga sanksi lain berdasarkan SK Rektor.",lexical,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,"Sanksi Plagiarisme; Pasal 66 (3); Pasal 99 ayat (2), (4), dan (5); Pasal 100 ayat (2)",MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
"Sebagai calon mahasiswa, saya ingin mengetahui: kapan Perguruan Tinggi Manado didirikan, dan apa saja fakultas yang tersedia pada saat itu?","Perguruan Tinggi Manado (PTM) didirikan pada 1 Agustus 1958 dengan empat fakultas: Fakultas Hukum, Fakultas Ekonomi, Fakultas Sastra, dan Fakultas Tatapraja.",semantic,synthetic_generation,"Persona: Andi Pratama, Style: PERFECT_GRAMMAR, Length: SHORT",LONG,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
When archive record show university name become UNSULUTTENG?,Nama singkatan universitas diubah menjadi UNSULUTTENG pada periode tahun 1961–1965.,semantic,synthetic_generation,"Persona: Eleanor Vance, Style: POOR_GRAMMAR, Length: SHORT",MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
"I making archive record, what year Fakultas Kesehatan Masyarakat is official become youngest faculty?","Fakultas Kesehatan Masyarakat (FKM) resmi menjadi fakultas termuda di UNSRAT pada tahun 2009, berdasarkan Surat Persetujuan DIKTI No. 212/D/2009 tanggal 17 Februari 2009.",semantic,synthetic_generation,"Persona: Eleanor Vance, Style: POOR_GRAMMAR, Length: MEDIUM",MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
"university archives historical records official title and period of service for past academic leadership J. A. Losung, SH","J. A. Losung, SH tercatat menjabat sebagai Presiden UNSRAT (jabatan resmi pertama kepemimpinan universitas) pada periode 1961–1964.",semantic,synthetic_generation,"Persona: Eleanor Vance, Style: WEB_SEARCH_LIKE, Length: LONG",LONG,WEB_SEARCH_LIKE,single_hop_specific_query_synthesizer
Who be the rector in records from Juli 2014?,"Bulan Juli 2014 merupakan periode transisi kepemimpinan UNSRAT: Prof. Dr. Ir. H. Musliar Kasim, MS menjabat sebagai PLT Rektor hingga Juli 2014, kemudian Prof. Dr. Ir. Ellen J. Kumaat, M.Sc, DEA mulai menjabat sebagai Rektor definitif sejak Juli 2014 hingga 2022.",semantic,synthetic_generation,"Persona: Eleanor Vance, Style: POOR_GRAMMAR, Length: SHORT",MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
sejarah nama universitas negeri Provinsi Sulawesi Utara,"Nama universitas negeri ini mengalami beberapa perubahan sebelum menjadi UNSRAT: berawal dari Perguruan Tinggi Manado (1 Agustus 1958), berganti menjadi Universitas Sulawesi Utara-Tengah/UNSUT (Oktober 1958), lalu UNISUT (1960), resmi menjadi Universitas Negeri pertama di wilayah tersebut pada 4 Juli 1961, sempat bernama UNSULUTTENG (1961–1965), dan akhirnya diresmikan sebagai Universitas Sam Ratulangi (UNSRAT) pada 14 September 1965, diambil dari nama pahlawan nasional Dr. Sam Ratulangi.",semantic,synthetic_generation,"Persona: Eleanor Vance, Style: WEB_SEARCH_LIKE, Length: MEDIUM",SHORT,WEB_SEARCH_LIKE,single_hop_specific_query_synthesizer
"I want study entrepreneur in this research university, but who exactly Dr. Gerungan Saul Samuel Jacob Ratulangi that the campus name after?","Dr. Gerungan Saul Samuel Jacob Ratulangi (dikenal sebagai Sam Ratulangi) adalah tokoh pahlawan nasional dan pejuang kemerdekaan Republik Indonesia asal Minahasa, Sulawesi Utara, yang namanya diabadikan sebagai nama universitas ini.",semantic,synthetic_generation,"Persona: Andi Pratama, Style: POOR_GRAMMAR, Length: MEDIUM",LONG,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
"hallo kakk, sy calon mhasiswa yg lg nyari kmpus riset yg bgus buat ngembangin skill. sy dnger UNSRAT pnya visi buat jd excellent university dr diagram misinya. sy mau nanya yg agak pnjg nih, gmn sih sbnrnya aturan ttg proses pembelajaran disana, kyk pemakaian bhs pengantar sm sistem e-learning nya? trus klo misalny nnti sy butuh istirahat, apa bnr mhasiswa pnya hak buat brhenti smntara dr segala bentuk kegiatan akademik? tolong jlasin yaa biar sy mkin yakin.","Visi UNSRAT untuk menjadi Excellent University menjadi acuan utama penyusunan misi, tujuan, sasaran, dan strategi kampus. Proses pembelajaran mengacu pada RPS/modul, dengan Bahasa Indonesia sebagai bahasa pengantar utama (bahasa daerah/asing dapat digunakan bila diperlukan, didukung UPT Bahasa). UNSRAT juga menyediakan e-learning (LMS) dalam dua bentuk: Synchronous (interaksi langsung real-time) dan Asynchronous (tanpa interaksi langsung). Terkait hak istirahat sementara, mahasiswa memiliki hak Cuti Akademik untuk berhenti sementara dari kegiatan akademik dengan izin resmi Rektor, maksimal 2 kali selama masa studi dengan durasi maksimal 1 semester per pengajuan.",semantic,synthetic_generation,"Persona: nan, Style: nan, Length: nan",LONG,MISSPELLED,single_hop_specific_query_synthesizer
"Hlo, sya Andi Pratama, caln mahsiswa yg pgn bngat dapet pndidikan brkualitas buat ngembangin skill akdemik dan wirausaha. Sya mau nanya tntang evaluasi blajar d kmpus. Sya sring denger kta IPK, tpi blum pham. Apa sih sbenarnya kpanjangan dan mksud dri IPK itu, trus gmana cra kmpus mnghitung IPK dri smua mata kulah yg udah kta tmpuh nntinya?","IPK (Indeks Prestasi Kumulatif) adalah nilai capaian pembelajaran kumulatif dari seluruh semester yang telah ditempuh mahasiswa. IPK dihitung dengan rumus Σ(N × K) / ΣK, di mana N adalah nilai bilangan hasil konversi nilai huruf (A=4,0; B+=3,5; B=3,0; C+=2,5; C=2,0; D=1,0; E=0) dan K adalah bobot SKS mata kuliah.",semantic,synthetic_generation,"Persona: nan, Style: nan, Length: nan",LONG,MISSPELLED,single_hop_specific_query_synthesizer
I am archivist keeping the university record. In Pasal 78 it say specialist graduate must doing oath taking ceremony. So how we writing the title for this specialist in their full name for the record?,"Gelar bagi lulusan program Spesialis (setelah upacara pengambilan sumpah/janji profesi sesuai Pasal 78 ayat 6) ditulis di belakang nama lengkap, dengan singkatan gelar dimulai dari 'Sp.' diikuti bidang spesialisasinya.",semantic,synthetic_generation,"Persona: nan, Style: nan, Length: nan",LONG,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
"kak mau nanya, klo kuliah pke beasiswa, msh bs gak si ambil cuti akademik?","Pada dasarnya mahasiswa penerima beasiswa tidak diperkenankan mengambil cuti akademik, kecuali mendapat pertimbangan khusus dari Dekan/Direktur dan Rektor.",semantic,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,Pasal 49 (5),MEDIUM,MISSPELLED,single_hop_specific_query_synthesizer
"dosen sy slh input nilai di inspire, itu bs dibenerin lg gak yah?","Bisa, namun tidak dapat diperbaiki langsung oleh dosen di portal. Nilai yang telah diunggah ke Portal INSPIRE bersifat permanen dan hanya dapat diubah atas persetujuan Rektor melalui permohonan resmi Dekan/Direktur pada semester yang baru berakhir. Mahasiswa juga dapat mengajukan banding nilai tertulis kepada Dekan/Direktur paling lambat 7 hari setelah periode penginputan nilai ditutup.",semantic,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,Pasal 61 (2),MEDIUM,MISSPELLED,single_hop_specific_query_synthesizer
btas bayar ukt sm isi krs online smester genap ini kpn yah kak?,"Untuk semester genap 2025/2026, pembayaran UKT/SPP/BOP dan registrasi akademik berlangsung 5–31 Januari 2026, sedangkan pengisian KRS online berlangsung 9–31 Januari 2026. Batas akhir kedua kegiatan tersebut adalah 31 Januari 2026.",semantic,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,Jadwal KRS & UKT,MEDIUM,MISSPELLED,single_hop_specific_query_synthesizer
kkt angktan 146 ampe 148 tuh jalannya kpn?,"KKT Angkatan 146 dilaksanakan Februari–Maret 2026, Angkatan 147 pada April–Mei 2026, dan Angkatan 148 pada Juli 2026, semuanya pada Semester Genap Tahun Akademik 2025/2026.",semantic,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,Jadwal KKT,MEDIUM,MISSPELLED,single_hop_specific_query_synthesizer
itu semboyan unsrat yg si tou timou tumou tou artinya apaan sih sbenernya?,"Semboyan 'Si Tou Timou Tumou Tou' berarti 'Manusia dilahirkan untuk memanusiakan orang lain', digagas oleh Dr. Sam Ratulangi sebagai falsafah hidup yang diabadikan menjadi semboyan UNSRAT.",semantic,01_sejarah.md,Semboyan Unsrat,MEDIUM,MISSPELLED,single_hop_specific_query_synthesizer
"klo menang pkm sampe tingkat nasional, bs gantiin skripsi gak?","Ya, mahasiswa yang mengikuti PKM dan lolos hingga tingkat nasional dapat disetarakan dengan Tugas Akhir/Skripsi melalui Keputusan Rektor, dengan tetap harus memenuhi kewajiban akademik lain sesuai kurikulum program studi.",semantic,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,Penyetaraan PKM,MEDIUM,MISSPELLED,single_hop_specific_query_synthesizer
"duh ukt sy blm ke bayar full nih, bs dicicil gak yah?","Pada dasarnya UKT wajib dibayar lunas sebelum mengisi KRS. Mahasiswa yang membayar berstatus Aktif (A), sedangkan yang tidak membayar berstatus Non Aktif (N), kecuali bagi mahasiswa yang dibebaskan dari kewajiban tersebut berdasarkan Surat Keputusan (SK) Rektor.",semantic,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,Kebijakan UKT,MEDIUM,MISSPELLED,single_hop_specific_query_synthesizer
"For UNSRAT program sarjana, wat languge is the Ijazah writen in and wat is the max sks for semster 3?","Ijazah mahasiswa UNSRAT wajib ditulis dalam Bahasa Indonesia dan diterbitkan dalam format bilingual (Bahasa Indonesia dan Inggris). Untuk program sarjana, batas maksimum SKS pada semester 3 dan seterusnya adalah 24 SKS (berbeda dengan semester 1–2 yang dibatasi 20 SKS).",multi-hop,synthetic_generation,"Persona: nan, Style: nan, Length: nan",LONG,PERFECT_GRAMMAR,multi_hop_abstract_query_synthesizer
"In my capacity as a university archivist dedicated to preserving institutional history and maintaining accurate records, I am compiling a comprehensive overview of the operational and strategic frameworks of UNSRAT. Could you please elucidate how UNSRAT structures its vision, mission, and strategies to achieve its long-term objectives, while also detailing the specific administrative protocols students must navigate, such as the system used for student identification coding and the procedures for registering their academic courses on Portal INSPIRE?","UNSRAT menyusun visi (menjadi universitas unggul, berbudaya, berdaya saing global menuju universitas riset berlandaskan Pancasila) yang diturunkan menjadi 4 misi, tujuan (T-1–T-4), sasaran (S-1–S-4), dan strategi (ST-1–ST-4) untuk mewujudkan status Excellent University. NIM mahasiswa terdiri dari 12 digit: digit 1–2 tahun masuk, digit 3–4 kode fakultas, digit 5 jenjang pendidikan, digit 6 status masuk, digit 7–8 kode program studi, dan digit 9–12 nomor urut. Untuk registrasi KRS di Portal INSPIRE, mahasiswa harus melunasi UKT (status menjadi Aktif), berkonsultasi dengan PA, mengisi KRS online, lalu KRS disetujui dosen PA; perubahan/pembatalan KRS diperbolehkan maksimal 2 minggu sejak awal perkuliahan.",multi-hop,synthetic_generation,"Persona: nan, Style: nan, Length: nan",LONG,PERFECT_GRAMMAR,multi_hop_abstract_query_synthesizer
"Me looking at old UNSRAT archive record for leadership. What exactly is Dekan do, and how many maximum semester for student in Program Sarjana to finish their study?","Dekan adalah pemimpin fakultas di UNSRAT yang ditetapkan melalui Keputusan Rektor, bertugas mengoordinasikan pembelajaran, menyetujui KRS, mengeluarkan peringatan akademik, mengesahkan tugas akhir, dan menetapkan kelulusan tingkat fakultas. Masa studi maksimal bagi mahasiswa Program Sarjana (S1) adalah 14 semester.",multi-hop,synthetic_generation,"Persona: nan, Style: nan, Length: nan",LONG,PERFECT_GRAMMAR,multi_hop_abstract_query_synthesizer
When Pemilihan Dosen Berprestasi happen for Dosen who guide student final project?,"Pemilihan Dosen Berprestasi (termasuk dosen pembimbing tugas akhir) diselenggarakan secara bertahap pada April–Juni 2026: tingkat Jurusan (April 2026), tingkat Fakultas (Mei 2026), dan tingkat Universitas (Juni 2026).",multi-hop,synthetic_generation,"Persona: nan, Style: nan, Length: nan",MEDIUM,PERFECT_GRAMMAR,multi_hop_specific_query_synthesizer
"Di UNSRAT, apa sebutan untuk hak mahasiswa yang ingin berhenti sementara dari kegiatan akademik, dan dokumen apa yang memuat informasi mengenai pencapaian akademik lulusannya?",Hak mahasiswa untuk berhenti sementara dari kegiatan akademik disebut Cuti Akademik. Dokumen yang memuat informasi pencapaian akademik lulusan disebut Surat Keterangan Pendamping Ijazah (SKPI).,multi-hop,synthetic_generation,"Persona: nan, Style: nan, Length: nan",LONG,PERFECT_GRAMMAR,multi_hop_abstract_query_synthesizer
"Helo, my name is Andi Pratama and I am a prospektiv undergraduat student who wants to join a top reserch university to develop my akademik and entreprenurial skils. I am trying to figur out how the campus is organized to suport students. Can you tel me what exactly is the role of a Dekan, and what is the duty of a Dosen who helps with final asigments? And also, looking at the list of past Rectors, who was the Rektor in charge from 2008 to 2014 that woud normaly isue the decree to apoint a Dekan?","Dekan adalah pemimpin tertinggi tingkat fakultas yang mengoordinasikan pembelajaran, menyetujui KRS, mengeluarkan peringatan akademik, mengesahkan tugas akhir, dan menetapkan kelulusan. Dosen Pembimbing Tugas Akhir bertugas membimbing mahasiswa dari seminar proposal hingga ujian akhir di bawah Komisi Pembimbing. Rektor yang menjabat periode 2008–2014 adalah Prof. Dr. D. A. Rumokoy, SH, MH.",multi-hop,synthetic_generation,"Persona: nan, Style: nan, Length: nan",LONG,PERFECT_GRAMMAR,multi_hop_abstract_query_synthesizer
"As a student interested in entrepreneurship, can I fulfill my study load through entrepreneurial activities according to Pasal 26, and what specific information must be included in the Semester Learning Plan (RPS)?","Ya, berdasarkan Pasal 26 ayat (2), wirausaha diakui sebagai salah satu bentuk pemenuhan beban belajar mahasiswa. Berdasarkan Pasal 25 ayat (1), RPS wajib memuat: identitas mata kuliah (nama prodi, nama/kode mata kuliah, semester, SKS, dosen), capaian pembelajaran lulusan (CPL), kemampuan akhir tiap tahap, bahan kajian, metode pembelajaran, alokasi waktu, pengalaman belajar mahasiswa, serta sistem penilaian dan referensi.",multi-hop,synthetic_generation,"Persona: nan, Style: nan, Length: nan",LONG,PERFECT_GRAMMAR,multi_hop_abstract_query_synthesizer
"I is prospective student want ask. If I must do consult with PA before I put class in KRS INSPIRE, where I can read the requirement and duty for this PA, is it write in Pasal 47?","Menurut Pasal 47 ayat (1) huruf a, PA harus merupakan dosen tetap dan aktif. Tugasnya (huruf b) meliputi membantu perencanaan KRS dan memantau kemajuan studi, melakukan bimbingan akademik, membimbing pemenuhan hak dan kewajiban mahasiswa, membantu penyelesaian masalah akademik/pribadi, serta melaporkan kegiatan bimbingan tiap semester. Sesuai Pasal 45 ayat (4) dan (5), mahasiswa wajib berkonsultasi dengan PA sebelum mengisi KRS di Portal INSPIRE.",multi-hop,synthetic_generation,"Persona: nan, Style: nan, Length: nan",LONG,PERFECT_GRAMMAR,multi_hop_abstract_query_synthesizer
"klo sy nnti blajar trkait riset yg wajib ngacu k standar penelitian, mtd pembelajran apa aja yg bsa sy plih?","Metode pembelajaran terkait riset wajib mengacu pada Standar Penelitian (Pasal 23 ayat 3). Terdapat 9 metode yang dapat dipilih sesuai Pasal 24 ayat (3): diskusi kelompok, simulasi, studi kasus, pembelajaran kolaboratif, pembelajaran kooperatif, pembelajaran berbasis proyek, pembelajaran berbasis masalah, pembelajaran daring, atau metode lain yang mendukung capaian CPL.",multi-hop,synthetic_generation,"Persona: nan, Style: nan, Length: nan",LONG,MISSPELLED,multi_hop_abstract_query_synthesizer
kualifikasi dosen sarjana publikasi ilmiah,"Kualifikasi minimal dosen program Sarjana (S1) adalah lulusan magister/magister terapan yang relevan, atau memiliki sertifikat profesi setara KKNI jenjang 8. Dosen, baik perseorangan maupun berkelompok, wajib menulis buku ajar/buku teks dan/atau publikasi ilmiah.",abstract,synthetic_generation,"Persona: nan, Style: nan, Length: nan",SHORT,WEB_SEARCH_LIKE,single_hop_abstract_query_synthesizer
"kalo kgiatan pengabdian masarakat KKN dari LPPM blum slesai, dapet nilai apa?","Jika kegiatan KKT (pengabdian masyarakat yang diselenggarakan LPPM) belum selesai, mahasiswa diberikan nilai T (Tunda).",abstract,synthetic_generation,"Persona: nan, Style: nan, Length: nan",MEDIUM,MISSPELLED,single_hop_abstract_query_synthesizer
batas nilai INSPIRE,"Batas akhir pengunggahan nilai semester genap 2025/2026 ke Portal INSPIRE adalah 30 Juni 2026 pukul 23:59 WITA; sejak 1 Juli 2026 nilai bersifat permanen. Jika dosen tidak mengunggah nilai hingga batas waktu, sistem otomatis memberikan nilai 100 bagi mahasiswa yang memenuhi syarat, dan nilai 0 bagi yang tidak diinput.",abstract,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,Jadwal Batas Nilai,SHORT,WEB_SEARCH_LIKE,single_hop_abstract_query_synthesizer
misi Unsrat,"Misi UNSRAT terdiri dari 4 poin: (1) menyelenggarakan pendidikan tinggi berkualitas untuk lulusan yang kompeten, profesional, beretika, dan berjiwa wirausaha; (2) meningkatkan kuantitas dan kualitas riset inovatif secara global; (3) melaksanakan pengabdian masyarakat berbasis riset; (4) menerapkan tata kelola universitas yang transparan, akuntabel, kredibel, dan adil (Good University Governance).",abstract,02_visi_misi.md,Misi UNSRAT,SHORT,WEB_SEARCH_LIKE,single_hop_abstract_query_synthesizer
rektor Unsrat sekarang,"Rektor UNSRAT saat ini (periode 2022–sekarang) adalah Prof. Dr. Ir. Oktovian Berty Alexander Sompie, M.Eng. IPU., ASEAN Eng., yang merupakan pimpinan ke-13 dalam sejarah kepemimpinan universitas sejak 1961.",abstract,01_sejarah.md,Rektor Saat Ini,SHORT,WEB_SEARCH_LIKE,single_hop_abstract_query_synthesizer
tugas LPPM,"LPPM bertugas memfasilitasi, mengoordinasikan, memantau, dan menilai pelaksanaan penelitian serta pengabdian kepada masyarakat oleh sivitas akademika, termasuk menyusun rencana dan panduan program, menyelenggarakan KKT, mendiseminasikan hasil, serta memberikan penghargaan bagi peneliti dan pelaksana pengabdian.",abstract,05_lembaga.md,Tugas LPPM,SHORT,WEB_SEARCH_LIKE,single_hop_abstract_query_synthesizer
alamat kampus Unsrat,"UNSRAT berkedudukan/berlokasi di Manado, Sulawesi Utara.",abstract,01_sejarah.md,Lokasi Kampus,SHORT,WEB_SEARCH_LIKE,single_hop_abstract_query_synthesizer
Apa syarat Cum Laude?,"Syarat Cum Laude (Dengan Pujian) berbeda tiap jenjang. Program Sarjana (S1): IPK 3,76–4,00, masa studi maksimal 8 semester, nilai Tugas Akhir A, tidak ada nilai C/C+, tidak pernah mengulang mata kuliah, dan tidak pernah dikenai sanksi akademik. Program Magister (S2): IPK 3,76–4,00, masa studi maksimal 4 semester, nilai tugas akhir A, tanpa sanksi akademik. Program Doktor (S3): IPK ≥3,80, masa studi maksimal 7 semester, nilai tugas akhir A, tanpa sanksi akademik. Program Profesi/Spesialis-1 memiliki syarat serupa (IPK 3,86–4,00) dengan masa studi bervariasi 2–8 semester sesuai jenis programnya.",abstract,Pasal 68(1),survey:sangat_sering_ditanyakan(6x);answerable=Ya,SHORT,PERFECT_GRAMMAR,single_hop_abstract_query_synthesizer
apakah saya masih bisa cumlaude kalau pernah mengulang mata kuliah?,"Tidak bisa. Salah satu syarat mutlak Cum Laude untuk Program Sarjana adalah tidak pernah mengulang mata kuliah. Jika pernah mengulang (karena nilai D/E atau perbaikan nilai), predikat kelulusan akan disesuaikan menjadi Sangat Memuaskan (IPK 3,01–3,75, masa studi maksimal 9 semester) atau Memuaskan (IPK di bawah 3,00).",semantic,Pasal 68(1),survey:sering_ditanyakan(3x);answerable=Ya,MEDIUM,POOR_GRAMMAR,single_hop_specific_query_synthesizer
Apakah saya masih bisa bisa Cum Laude kalau sudah semester 9?,"Tidak bisa. Salah satu syarat mutlak Cum Laude bagi Program Sarjana adalah menyelesaikan studi maksimal 8 semester, sehingga kelulusan pada semester 9 tidak lagi memenuhi syarat tersebut meskipun IPK berada pada rentang 3,76–4,00.",semantic,Pasal 68(1),survey:edge_case_semester9(2x);answerable=Ya,MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
